Date,Close/Last,Volume,Open,High,Low
05/03/2016,$75.91,8008683,$75.96,$76.27,$75.425
05/02/2016,$76.61,7715004,$76.89,$77.00,$75.94
04/29/2016,$76.94,10096800,$76.81,$77.28,$75.66
04/28/2016,$76.40,9948096,$77.65,$77.90,$76.09
04/27/2016,$77.65,11456400,$78.30,$78.62,$76.57
04/26/2016,$78.61,9576697,$78.85,$79.56,$77.8001
04/25/2016,$78.84,9184890,$79.80,$79.84,$78.68
04/22/2016,$79.89,8628875,$80.12,$85.89,$79.155
04/21/2016,$80.78,8812676,$81.08,$81.78,$80.20
04/20/2016,$81.21,14900920,$79.00,$81.735,$78.99
04/19/2016,$79.46,14727460,$79.20,$80.48,$78.47
04/18/2016,$79.01,7761672,$78.52,$79.12,$77.71
04/15/2016,$78.97,11696030,$79.45,$79.75,$78.46
04/14/2016,$79.61,12589950,$79.31,$79.858,$78.36
04/13/2016,$79.64,14118650,$78.74,$79.72,$78.50
04/12/2016,$77.86,7111310,$78.00,$78.24,$76.87
04/11/2016,$77.71,7895083,$78.07,$78.589,$77.43
04/08/2016,$77.47,8395405,$78.27,$78.76,$76.621
04/07/2016,$77.61,10935080,$77.60,$78.60,$77.1825
04/06/2016,$78.68,9061421,$77.30,$79.15,$77.19
04/05/2016,$77.32,9591390,$78.20,$78.30,$76.91
04/04/2016,$79.08,9796850,$78.33,$79.55,$78.32
04/01/2016,$78.73,9254098,$78.24,$79.02,$78.20
03/31/2016,$79.03,11310600,$78.50,$79.84,$78.41
03/30/2016,$78.86,10684540,$79.01,$79.55,$78.54
03/29/2016,$78.08,12521450,$75.60,$78.24,$75.57
03/28/2016,$76.48,6074844,$76.45,$76.89,$74.90
03/24/2016,$75.86,8833087,$75.15,$76.15,$73.53
03/23/2016,$76.56,10798990,$78.16,$78.98,$76.15
03/22/2016,$78.18,9136901,$77.00,$78.55,$76.908
03/21/2016,$78.11,15482830,$77.09,$79.6804,$76.94
03/18/2016,$76.25,13344020,$74.97,$76.30,$74.71
